Year,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,Annual
1951,N/A,661,651,642,601,571,600,623,580,574,588,573,606
1952,599,609,622,595,557,540,528,529,521,558,541,553,563
1953,575,563,569,565,564,553,561,556,553,543,545,533,557
1954,527,515,497,504,499,501,495,480,485,487,495,504,499
1955,539,505,503,503,496,500,500,508,496,516,513,549,511
1956,580,606,656,613,637,627,602,607,632,580,663,775,632
1957,856,863,840,914,872,902,933,893,1015,970,986,1046,924
1958,1040,1021,1078,1061,978,937,1010,954,939,936,922,959,986
1959,932,966,900,862,925,880,1071,1038,992,909,896,916,941
1960,962,932,888,947,945,906,905,854,856,856,892,850,899
1961,789,770,771,775,746,750,856,784,753,729,683,700,759
1962,704,715,705,720,689,682,675,675,696,701,677,686,694
1963,644,627,629,611,634,610,606,615,641,619,608,591,620
1964,577,579,562,553,538,531,534,529,521,518,516,499,538
1965,497,495,484,472,466,498,515,517,511,499,484,485,494
1966,501,503,525,534,517,551,571,575,673,614,591,616,564
1967,633,647,614,623,659,675,656,683,674,663,691,694,659
1968,680,688,693,684,708,752,746,732,758,801,883,854,748
1969,761,756,771,788,864,897,861,812,784,774,770,772,801
1970,768,740,746,791,783,849,848,801,754,736,776,704,775
1971,691,652,644,644,627,579,574,559,557,535,538,550,596
1972,545,542,509,499,516,565,533,649,542,529,554,532,543
1973,525,528,548,603,639,582,559,546,513,516,508,505,548
1974,514,500,527,535,580,603,648,605,635,629,614,566,580
1975,560,535,527,517,511,501,506,523,516,520,545,524,524
1976,531,521,522,540,520,508,501,500,492,495,494,499,510
1977,506,503,492,499,498,510,546,540,541,515,504,503,513
1978,547,560,568,613,667,623,619,560,555,603,583,583,590
1979,622,638,664,720,696,757,757,821,799,748,749,701,723
1980,717,727,692,735,734,813,817,803,793,853,905,906,791
1981,833,878,888,919,955,869,860,858,816,911,894,827,876
1982,773,877,784,765,735,880,1012,1008,1082,1008,973,1029,911
1983,936,876,816,807,890,834,776,777,748,743,733,731,806
1984,710,722,763,791,859,807,784,747,731,730,739,725,759
1985,709,665,654,637,629,596,606,606,575,571,554,561,614
1986,564,627,578,524,515,511,508,507,503,488,524,491,528
1987,466,446,447,451,470,507,527,551,571,571,597,594,517
1988,665,640,627,642,636,646,691,703,694,712,723,796,681
1989,828,832,980,956,1014,1000,912,952,986,1055,1126,1078,977
1990,1018,1000,1034,1103,1123,1125,1036,1059,999,941,890,889,1018
1991,826,814,1018,990,972,1360,1334,1133,990,953,943,895,1019
1992,889,923,852,769,797,734,693,696,713,671,688,646,756
1993,658,662,695,651,635,620,612,612,596,591,593,595,627
1994,596,635,625,631,612,610,594,574,556,564,563,570,594
1995,553,542,560,549,542,544,541,535,530,533,530,526,540
1996,522,505,505,499,505,505,506,509,514,522,525,517,511
1997,506,497,494,498,495,496,499,489,496,507,518,510,500
1998,505,500,498,559,606,583,554,589,558,536,552,576,551
1999,618,623,609,593,601,584,568,632,687,719,735,757,644
2000,728,759,795,788,846,899,958,908,868,811,889,859,842
2001,820,761,723,866,789,769,757,809,804,844,798,775,793
2002,851,767,798,804,801,785,830,889,841,820,870,849,825
2003,822,821,808,833,844,903,853,834,800,844,1026,840,852
2004,852,766,715,691,664,663,700,685,660,601,667,651,693
2005,757,675,656,634,692,647,663,686,755,629,603,603,667
2006,582,552,522,519,506,508,521,519,514,496,500,546,524
2007,492,498,484,463,459,456,459,463,453,455,462,453,466
2008,462,465,462,464,465,463,457,445,437,437,429,426,451
2009,421,414,407,398,389,393,393,396,389,390,397,390,398
2010,398,436,448,475,462,471,478,489,483,483,496,499,468
2011,488,486,513,568,534,599,576,568,568,590,549,516,546
2012,542,574,644,557,555,590,662,649,610,610,601,587,598
2013,571,565,595,590,667,675,656,644,630,598,610,635,620
2014,630,670,650,639,620,658,640,607,640,636,648,703,645
2015,674,672,709,684,654,664,628,622,623,612,603,590,645
2016,554,526,531,529,524,525,537,519,518,497,482,483,519
2017,465,458,451,466,460,453,477,505,522,493,466,460,473
2018,459,451,448,442,446,431,433,433,429,425,430,434,439
2019,434,438,421,421,444,426,426,429,419,414,418,417,426
2020,410,398,402,391,399,408,411,412,413,416,416,431,409
2021,435,464,430,419,422,428,438,428,432,432,453,443,436
2022,449,472,474,482,514,551,579,607,583,563,566,622,539
2023,634,686,694,662,676,680,712,749,758,720,760,775,709
2024,764,770,766,759,812,766,728,788,849,,,,
